- MONTERREY TUVO OTRO AÑO PERDIDO EN EL COMBATE A LA CONTAMINACIÓN - Me sumo a la iniciativa #respiramonterrey par… https://t.co/mR28K81VIW
"#2018SeraMejor si se deja de vender pirotecnia en forma indiscriminada! Esta sólo provoca accidentes, mutilaciones incendios y contaminación"
"#3FactoresDeRiesgo para el #cáncer: Infección por virus de #hepatitis B o C, radiación ionizante o UV, contaminació… https://t.co/M2haWnSfWe"
"#AcciónVerde En la #CDMX se realizó la conversión de vehículos de uso administrativo de gasolina a gas natural, con… https://t.co/CSzUkKMMbD"
#Actualidad OMS alerta de la urgencia de combatir la contaminación del aire https://t.co/xbRxJHO2sN
#AgenciaID Investigadores universitarios diseñan apps que monitorean la #contaminación por metales pesados en la… https://t.co/VstJW1vEE2
"#Agua contaminada, una amenaza latente en #México: La contaminación del agua puede representar epidemias y enfermed… https://t.co/0wg1HNbDaR"
#Ahora así se mantiene la situación actual del vertedero municipal a esta hora generando una fuerte contaminación e… https://t.co/BsmlWjSFi8
#AirACT útil recurso sobre#contaminación de @ecologistas: AirACT: una aplicación para consultar el aire que respira… https://t.co/2rmaiN5TgT
"#AirACT, una #app que te informa de la calidad del aire que respiras #contaminación #salud https://t.co/rF2gqdd3RH"
#Aire @echezafabian: en este sentido hoy nos reunimos con un equipo de investigadores de la UTN que está desarrolla… https://t.co/1Qq2oAqVOt
"#airedañino En alerta se encuentra nuevamente la ciudad de Medellín por contaminación ambiental, según el sistema… https://t.co/YDSYjjZ6tK"
"#AirPollution is a global problem, requiring a global solution. #maps Contaminación del aire por ciudad #opendata… https://t.co/rQ9JJSJAIt"
#alcala La @UAHes crea una niebla capaz de limpiar la contaminación en el aire https://t.co/Pin6VvEgQX https://t.co/NYCvmOWJSy
#Alertaperruna #Perros #Animalistas Lotes de alimento para perros son retirados en EU por contaminación con fármac… https://t.co/IB6tZgOpCH
"#AlMomento el Dr. Román Rosales, secretario de #Salud, encabeza la 1a Sesión del año del Comité Científico-Técnico… https://t.co/6UupZw2uu1"
#AlMomento El Sistema de Monitoreo Atmosférico registra #CalidadDelAire REGULAR en la Zona Metropolitana de Pachuca… https://t.co/5UQklclVfN
#AlMomento estamos en @C7Jalisco con @cejamercado compartiendo a la ciudadanía recomendaciones para mitigar la cont… https://t.co/RHGsBqaNvA
#AlMomento Incumplen promesas con afectados por ecocidio en Río Sonora - A tres años y medio del peor desastre ambi… https://t.co/tPYRQW2MKz
#AMBAutoridadAmbiental El Área Metropolitana de Bucaramanga contará con 5 estaciones que permitirán el control y l… https://t.co/XX6r8mBi2P
#AMiMeGustaria menos contaminación en la CDMX. Les dejo este paisaje triste de admirar. https://t.co/vUWmCbOcLL
#Análisis medio ambiente mundo: 182 reservas naturales estarían en riesgo de ser destruidas para mercantilizar sus… https://t.co/M4mbPfLIVa
#AntesDelAmanecer La congestión vehícular es un problema muy grave que sufrimos los ciudadanos todos los días. Otro… https://t.co/mkEnOBYztZ
#AntioquiaCuenta | Informe sobre las medidas de prevención para mejorar la #CalidadDelAire https://t.co/SItYbV4Zs0… https://t.co/SXCqPctawD
"#Archivo #CulturaAmbiental #Reportajes4V Servicios deficientes de recolección de basura, excesos en el tráfico... https://t.co/8U9yomyMSR"
#ARDulcesLetras Los dulces momentos se acumulan en el aire y forman una boina de exquisita contaminación sobre la melosa ciudad.
#asivamos2017 La población está de acuerdo que el mayor problema ecológico es la contaminación del aire y el menor la falta de arboles.Neta?
#ATENCIÓN Segunda precontingencia del año en @municipio_leon por mala calidad del aire #Contaminación https://t.co/tQsarlj1xS
"#Atizapan, Edo.Mexico#Presa Madín# hoy incendio en pastizales sin importar contaminación y para seguir construyendo… https://t.co/lVdQqlWz5Q"
#AvanceInformativo| Altos índices de contaminación del aire en la ZMG. Toda la información con @RaulFriasLucio a l… https://t.co/5R53PfdURf
#AyTalento #lasubcontrata #AiTalento Una nueva contaminación emerge sobre la del tráfico en las ciudades - La image… https://t.co/N7adm459WA
#Belleza ¿Gafas de sol en invierno? ¡Pero claro que sí! Tenemos que proteger nuestros ojos de la contaminación y el… https://t.co/IGyPNJbfNt
#Bierzo Aire Limpio acusa a la Junta de “maniobrar” para “ocultar” la contaminación en la comarca… https://t.co/8Te2DjSu7d
#Bierzo Aire Limpio acusa a la Junta de “maniobrar” para “ocultar” la contaminación en la comarca… https://t.co/GRjWQ28s5n
#Bierzo Aire Limpio acusa a la Junta de “maniobrar” para “ocultar” la contaminación en la comarca… https://t.co/UwUvw3sBYF
#Bit: De acuerdo a un estudio por investigadores de la Universidad de Cincinnati y del Hospital Infantil de Cincinn… https://t.co/DdcWVvYHqO
#blindworlds https://t.co/7JeufGNpvT en #Barcelona comprueban que la contaminacion del aire por hollin que es causa… https://t.co/GNtNbJnRtz
#blindworlds https://t.co/EXjFvWcXkl la Comision de la #UE advierte a #España que la denuciara si no reduce la gran… https://t.co/NgSJSkKuFV
#BuenViernes Así de claro la vista desde Santa Fe y así la contaminación de lejos en el centro #CDMX. https://t.co/TwGTtr5nIv
"#CalidadDelAire """"Lo que debe saber sobre la alerta por contaminación en el Aburrá"""""""" https://t.co/aoDSYkWFIb"
"#CalidadDelAire """"Por calidad del aire habrá pico y placa los sábados y para motos 4 tiempos""""""""… https://t.co/Azb4NK9iv8"
#CalidadDelAire #LoViEnQuadratínEdomex https://t.co/rLQoKhcDsw
#CalidadDelAire | Anualmente en el mundo se mueren hasta 7 millones de personas por temas de contaminación en el… https://t.co/UfascPzU6x
#CalidadDelAire Contaminación atmosférica en el Valle de México #Municipios https://t.co/sWXnDXw5XM https://t.co/I1XlIkbQPp
#CalidadDelAire Continúa contaminación en municipios mexiquenses. https://t.co/FIToQOWBhx
#CalidadDelAire Ecatepec amaneció como el más contaminado con 109 puntos. https://t.co/zHWaGj2VUy
#CalidadDelAire Ecatepec presenta 127 puntos contaminantes. https://t.co/S8Ak1SAHQS
#CalidadDelAire En la mayor parte de la CDMX y zona conurbada la los niveles de contaminación son BUENOS. En Azcap… https://t.co/wcVNzkmMkA
"#CalidadDelAire La contaminación afecta con aire de calidad regular las áreas de Las Pintas, Tlaquepaque; Miravalle… https://t.co/9A7pNvNDmu"
"#CalidadDelAire La contaminación afecta con aire de mala calidad el área de Las Pintas, Tlaquepaque; las zonas de M… https://t.co/4kovAoXbFR"
"#CalidadDelAire La contaminación afecta las zonas de Las Pintas, Tlaquepaque y Miravalle, Guadalajara, con aire de… https://t.co/Vm2qzglbCX"
"#CalidadDelAire La única área sin contaminación en este momento es la de Oblatos, Guadalajara; En el resto hay aire… https://t.co/ccP1LZFVVi"
#CalidadDelAire Las condiciones ambientales son adversas para la salud de la población. https://t.co/Rh1qlFcHln
#CalidadDelAire: las personas que son extremadamente sensibles a la contaminación deben considerar limitar los esfu… https://t.co/5JFiJJ8zNm
"#Cancun, #QuintanaRoo, #México, sede del 7 al 9.03.18 de la Cumbre Mundial del Océano 2018, que promueve pesca sus… https://t.co/zfpRGJlV6f"
#CaneloAlvarez da positivo a Clenbuterol. Golden Boy culpa a la contaminación de la carne en México con este estero… https://t.co/ibRb4yMF4p
#CaneloÁlvarez da positivo a la prueba del Clembuterol... Debido a la contaminación de la carne que ha afectado a… https://t.co/Jc0cfgprYQ
#CarrilbiciCastellana -para reducir los enfermos por contaminación. -para evitar sanciones de la UE a Madrid (que… https://t.co/GaWQx22je8
#CDMX #MTY #GDL Para evitar contaminación al medio ambiente reubican centro de blanqueo de hoja de maíz en Papantla https://t.co/H0OhHQtbyI
"#cdmx #unam #contaminación?? #hazconciencia?? #méxicocity en Ciudad Universitaria, Distrito… https://t.co/sCDmxoGq7k"
